,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
118,601633.SH,20221222,29.66,31.2,29.36,30.51,29.27,1.24,4.2364,313279.7,948624.936
117,601633.SH,20221223,30.31,30.37,29.35,29.55,30.51,-0.96,-3.1465,169185.36,504470.9
116,601633.SH,20221226,29.32,30.2,28.99,30.05,29.55,0.5,1.692,139876.86,417376.722
115,601633.SH,20221227,30.02,30.3,29.68,30.22,30.05,0.17,0.5657,130502.22,391681.45
114,601633.SH,20221228,29.81,29.86,28.78,29.22,30.22,-1,-3.3091,189500.36,552937.259
113,601633.SH,20221229,29.08,29.79,28.87,29.3,29.22,0.08,0.2738,118163.47,347111.461
112,601633.SH,20221230,29.81,30.43,29.57,29.62,29.3,0.32,1.0922,206475.57,619760.616
111,601633.SH,20230103,28.88,29.35,28.55,29.1,29.62,-0.52,-1.7556,244960.9,708545.595
110,601633.SH,20230104,28.81,29,28.4,28.64,29.1,-0.46,-1.5808,158198.49,453634.884
109,601633.SH,20230105,29,29.6,28.88,29.09,28.64,0.45,1.5712,203881.26,595200.682
108,601633.SH,20230106,29,29.75,28.9,29.32,29.09,0.23,0.7906,158477.43,466704.72
107,601633.SH,20230109,29.32,29.68,29.1,29.19,29.32,-0.13,-0.4434,171943.25,503502.079
106,601633.SH,20230110,29.37,30.5,28.81,30.24,29.19,1.05,3.5971,341062.88,1015048.427
105,601633.SH,20230111,29.7,30.24,29.51,29.63,30.24,-0.61,-2.0172,244480.15,729379.083
104,601633.SH,20230112,29.69,30.66,29.65,29.92,29.63,0.29,0.9787,225570.92,679992.704
103,601633.SH,20230113,29.86,30.47,29.12,29.41,29.92,-0.51,-1.7045,274594.61,812423.818
102,601633.SH,20230116,29.56,29.88,29.2,29.64,29.41,0.23,0.782,187683.84,555384.677
101,601633.SH,20230117,29.8,30.09,29.52,29.78,29.64,0.14,0.4723,135266.78,403607.134
100,601633.SH,20230118,29.85,30.52,29.8,29.94,29.78,0.16,0.5373,192844.91,581691.273
