,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
203,300357.SZ,20220729,46.75,46.98,45.55,45.67,46.7,-1.03,-2.2056,24437.4,112207.123
202,300357.SZ,20220801,45.31,47.56,44.51,47.27,45.67,1.6,3.5034,29759.73,137689.411
201,300357.SZ,20220802,46.51,47.42,44.97,45.98,47.27,-1.29,-2.729,27892.28,128657.095
200,300357.SZ,20220803,45.65,49,45.65,47.18,45.98,1.2,2.6098,29524.96,139873.593
199,300357.SZ,20220804,47.54,48.3,46.05,47.78,47.18,0.6,1.2717,24671.19,116543.504
198,300357.SZ,20220805,48.08,49.24,47.8,48.82,47.78,1.04,2.1766,24069.84,117007.782
197,300357.SZ,20220808,48.79,49.14,47.62,47.65,48.82,-1.17,-2.3966,15516.64,74644.215
196,300357.SZ,20220809,47.71,48.08,46.37,46.78,47.65,-0.87,-1.8258,16173.27,75805.436
195,300357.SZ,20220810,46.84,47.7,46.31,46.63,46.78,-0.15,-0.3206,12376.89,57979.614
194,300357.SZ,20220811,46.62,47.86,46.26,47.68,46.63,1.05,2.2518,18260.66,86172.841
193,300357.SZ,20220812,47.65,48.1,46.82,47.44,47.68,-0.24,-0.5034,13947.91,66208.525
192,300357.SZ,20220815,47.4,47.4,46.18,46.64,47.44,-0.8,-1.6863,15047,70037.179
191,300357.SZ,20220816,46.54,46.93,45.5,45.89,46.64,-0.75,-1.6081,17182.46,79154.115
190,300357.SZ,20220817,45.9,46.64,45.48,46.32,45.89,0.43,0.937,13004.55,60116.473
189,300357.SZ,20220818,46.31,46.32,45.33,45.53,46.32,-0.79,-1.7055,12782.34,58340.795
188,300357.SZ,20220819,45.51,45.94,44.87,44.93,45.53,-0.6,-1.3178,11943.95,54155.221
187,300357.SZ,20220822,44.63,46.72,44.19,46.6,44.93,1.67,3.7169,15505.43,70977.564
186,300357.SZ,20220823,46.5,46.5,44.67,44.97,46.6,-1.63,-3.4979,24088.27,108717.799
185,300357.SZ,20220824,44.61,45.47,44,44.2,44.97,-0.77,-1.7123,12764.83,56802.569
184,300357.SZ,20220825,44.2,45.1,44.2,44.59,44.2,0.39,0.8824,9517.8,42458.661
183,300357.SZ,20220826,45.26,46.6,45.09,45.85,44.59,1.26,2.8257,20329.19,93331.857
182,300357.SZ,20220829,45.6,46.47,44.9,45.2,45.85,-0.65,-1.4177,14343.87,65323.754
181,300357.SZ,20220830,45.2,45.38,44.6,45.12,45.2,-0.08,-0.177,8729.08,39241.426
180,300357.SZ,20220831,45.17,46.88,45.17,46.28,45.12,1.16,2.5709,18945.36,87269.645
179,300357.SZ,20220901,46.24,48.15,46.24,46.64,46.28,0.36,0.7779,20709.14,97983.151
178,300357.SZ,20220902,46.47,47.79,46.25,46.9,46.64,0.26,0.5575,13783.77,64775.013
177,300357.SZ,20220905,46.96,47.66,46,46.72,46.9,-0.18,-0.3838,20283.06,94706.576
176,300357.SZ,20220906,46.76,46.98,45.55,46.07,46.72,-0.65,-1.3913,10093.25,46486.575
175,300357.SZ,20220907,46.14,46.17,45.37,45.85,46.07,-0.22,-0.4775,7590.65,34735.95
174,300357.SZ,20220908,45.86,46.24,45.08,45.4,45.85,-0.45,-0.9815,8227.78,37516.536
173,300357.SZ,20220909,45.39,47.05,45.18,46.9,45.4,1.5,3.304,20474.34,95169.318
172,300357.SZ,20220913,46.94,48.55,46.5,47.66,46.9,0.76,1.6205,19589.81,93547.326
171,300357.SZ,20220914,47.53,48.09,46.53,47.95,47.66,0.29,0.6085,15449.41,73524.665
170,300357.SZ,20220915,48.01,48.42,46.8,47,47.95,-0.95,-1.9812,11243.2,53365.773
169,300357.SZ,20220916,47.01,47.88,46.21,46.5,47,-0.5,-1.0638,14097.47,65998.251
168,300357.SZ,20220919,46.6,46.72,45.21,45.85,46.5,-0.65,-1.3978,10926.46,50135.911
167,300357.SZ,20220920,46.17,46.33,45.29,45.57,45.85,-0.28,-0.6107,7377.27,33670.772
166,300357.SZ,20220921,45.43,45.64,42.53,43.05,45.57,-2.52,-5.53,18370.13,79902.589
165,300357.SZ,20220922,42.65,43.2,41.7,42.35,43.05,-0.7,-1.626,15392.91,65187.613
164,300357.SZ,20220923,41.99,42.52,40.86,41.32,42.35,-1.03,-2.4321,17289.78,71826.7
163,300357.SZ,20220926,41.56,43.32,40.6,42.5,41.32,1.18,2.8558,17274.28,73435.082
162,300357.SZ,20220927,42.54,47.8,42.41,47.59,42.5,5.09,11.9765,35728.1,163891.758
161,300357.SZ,20220928,47.22,48.38,46.65,48.03,47.59,0.44,0.9246,27585.49,132017.582
160,300357.SZ,20220929,47.74,49.98,47.73,48.86,48.03,0.83,1.7281,34045.91,166588.376
159,300357.SZ,20220930,48.62,49.73,48.62,48.73,48.86,-0.13,-0.2661,22367.9,109923.433
158,300357.SZ,20221010,48.97,49.18,46.8,47.7,48.73,-1.03,-2.1137,24659.05,118246.937
157,300357.SZ,20221011,47.96,48.1,46.8,47.32,47.7,-0.38,-0.7966,17208.86,81411.555
156,300357.SZ,20221012,47.42,47.88,45.33,47.7,47.32,0.38,0.803,19458.78,90494.045
155,300357.SZ,20221013,47.5,49.18,47,47.37,47.7,-0.33,-0.6918,20802.42,99681.43
154,300357.SZ,20221014,47.94,50.98,47.44,50.29,47.37,2.92,6.1642,50494.88,252193.232
153,300357.SZ,20221017,49.98,50.6,48.36,48.72,50.29,-1.57,-3.1219,36927.19,181521.441
152,300357.SZ,20221018,48.78,50.5,47.87,49.65,48.72,0.93,1.9089,33478.55,166158.849
151,300357.SZ,20221019,49.49,49.97,48.08,48.4,49.65,-1.25,-2.5176,21946.88,106641.022
150,300357.SZ,20221020,48.36,50.22,48.08,48.79,48.4,0.39,0.8058,26487.26,130057.001
149,300357.SZ,20221021,48.4,49.54,48.09,48.98,48.79,0.19,0.3894,15574.54,75967.745
148,300357.SZ,20221024,49,50.06,47.88,48.35,48.98,-0.63,-1.2862,19956.08,97028.155
147,300357.SZ,20221025,47.86,48.45,46.73,47.11,48.35,-1.24,-2.5646,19482.06,92322.89
146,300357.SZ,20221026,47.57,50.98,47.57,50.16,47.11,3.05,6.4742,47345.06,236454.426
145,300357.SZ,20221027,50.27,51.3,49.52,50.95,50.16,0.79,1.575,41220.7,208825.229
144,300357.SZ,20221028,50.5,51.58,49.1,49.29,50.95,-1.66,-3.2581,25787.59,129092.516
143,300357.SZ,20221031,48.8,49.18,45.95,47,49.29,-2.29,-4.646,46287.51,218829.395
142,300357.SZ,20221101,47.16,49.99,46.3,49.95,47,2.95,6.2766,41276.79,199298.535
141,300357.SZ,20221102,49.11,51.9,49,50.82,49.95,0.87,1.7417,42397.3,215308.989
140,300357.SZ,20221103,50.1,52.33,50.01,51.75,50.82,0.93,1.83,29167.62,150385.316
139,300357.SZ,20221104,51.78,53.68,51.53,52.8,51.75,1.05,2.029,34017.56,179310.435
138,300357.SZ,20221107,52.99,53.29,51.58,51.8,52.8,-1,-1.8939,33015.87,172160.716
137,300357.SZ,20221108,52.04,52.04,50.6,51.19,51.8,-0.61,-1.1776,15410.36,78696.15
136,300357.SZ,20221109,51.19,52.95,50.8,51.51,51.19,0.32,0.6251,20550.73,106856.494
135,300357.SZ,20221110,51.8,51.8,50.25,50.75,51.51,-0.76,-1.4754,19090.49,97167.177
134,300357.SZ,20221111,52.2,52.7,50.5,50.77,50.75,0.02,0.0394,34933.01,180926.27
133,300357.SZ,20221114,50.5,52.2,49.65,50.68,50.77,-0.09,-0.1773,27572.93,140354.883
132,300357.SZ,20221115,50.7,51.6,49.54,50.99,50.68,0.31,0.6117,24006.75,121658.007
131,300357.SZ,20221116,51.19,53.34,50.58,51.5,50.99,0.51,1.0002,27353.44,142319.539
130,300357.SZ,20221117,51.5,52.89,51.29,51.99,51.5,0.49,0.9515,18733.94,97672.212
129,300357.SZ,20221118,51.92,52.84,51.68,52.29,51.99,0.3,0.577,19628.23,102357.359
128,300357.SZ,20221121,51.98,53.22,50.85,53.2,52.29,0.91,1.7403,31192.08,163390.51
127,300357.SZ,20221122,53.2,53.46,50.58,51.03,53.2,-2.17,-4.0789,25502.02,131760.072
126,300357.SZ,20221123,50.66,51.1,49.5,50.3,51.03,-0.73,-1.4305,20785.62,104457.77
125,300357.SZ,20221124,50.85,50.97,49.27,50.42,50.3,0.12,0.2386,18551.53,92830.823
124,300357.SZ,20221125,50.31,50.59,48.96,49.4,50.42,-1.02,-2.023,18853.88,93096.996
123,300357.SZ,20221128,48.89,50.69,48.7,50.15,49.4,0.75,1.5182,18387.57,91763.935
122,300357.SZ,20221129,50.15,52.2,50.09,51.61,50.15,1.46,2.9113,25332.07,130902.008
121,300357.SZ,20221130,51.61,51.8,50.17,50.64,51.61,-0.97,-1.8795,16038.01,81586.229
120,300357.SZ,20221201,51,52.37,50.66,51.99,50.64,1.35,2.6659,22619.6,116989.842
119,300357.SZ,20221202,51.66,52.79,51.66,51.81,51.99,-0.18,-0.3462,14913.81,77935.362
118,300357.SZ,20221205,51.69,52.39,51.2,51.43,51.81,-0.38,-0.7334,21122.13,108932.096
117,300357.SZ,20221206,51.07,52.3,50.96,51.25,51.43,-0.18,-0.35,13613.9,70198.342
116,300357.SZ,20221207,50.93,51.65,49.68,51.23,51.25,-0.02,-0.039,21359.9,108272.551
